,Team,FG_Percentage,TP_Percentage,FT_Percentage,Minutes.per.Game,Points.per.Game,TRB.per.game,Assits.per.Game,WS_per_game,BPM,VORP,Player
44,CHO,0.435,0.358,0.841,31.561197916666668,11.76953125,5.26171875,3.7799479166666665,54.1,2.4,26.8,Nicolas Batum
45,,0.517,0.0,0.571,20.30017152658662,4.939965694682676,6.2778730703259,0.4939965694682676,22.9,-2.0,0.1,Bismack Biyombo
46,CHO,0.443,0.362,0.807,28.617733990147784,10.481773399014779,5.285714285714286,1.2945812807881774,62.8,-0.2,13.1,Marvin Williams
47,,0.53,0.364,0.696,14.780898876404494,7.044943820224719,5.595505617977528,1.0617977528089888,7.8,0.1,1.4,Willy Hernangómez
48,CHO,0.377,0.336,0.871,15.540145985401459,7.890510948905109,1.489051094890511,1.5401459854014599,0.3,-4.1,-1.1,Malik Monk
49,CHO,0.43,0.37,0.753,15.515463917525773,5.288659793814433,2.247422680412371,0.9072164948453608,1.1,-4.7,-1.0,Dwayne Bacon
50,CHO,0.465,0.322,0.753,21.333333333333332,7.469135802469136,4.049382716049383,1.2098765432098766,2.9,-0.6,0.6,Miles Bridges
51,CHO,0.36,0.313,0.776,14.957446808510639,5.1063829787234045,1.425531914893617,2.74468085106383,0.8,-3.5,-0.3,Devonte' Graham
52,CHO,0.529,0.636,1.0,38.0,27.0,4.0,1.0,0.1,2.0,0.0,PJ Washington
53,CHO,0.379,0.354,0.777,20.01098901098901,7.681318681318682,3.578754578754579,2.3333333333333335,9.8,-0.6,1.9,Terry Rozier
54,,0.423,0.282,1.0,19.545454545454547,5.9393939393939394,1.5151515151515151,2.0606060606060606,-0.2,-6.0,-0.6,Kobi Simmons
55,,0.399,0.374,0.754,22.917910447761194,8.014925373134329,4.059701492537314,2.291044776119403,3.1,-1.2,0.6,Denzel Valentine
56,CHI,0.418,0.321,0.721,24.129943502824858,8.598870056497175,3.2542372881355934,4.389830508474576,1.7,-1.2,0.8,Kris Dunn
57,CHI,0.433,0.359,0.857,30.876033057851238,16.876033057851238,8.223140495867769,1.2892561983471074,6.3,-1.8,0.2,Lauri Markkanen
58,,0.568,0.0,0.67,14.547169811320755,4.570754716981132,4.0754716981132075,0.7452830188679245,7.7,-1.5,0.4,Cristiano Felício
59,CHI,0.483,0.404,0.794,26.9375,10.98,4.9775,1.485,29.1,1.9,10.7,Otto Porter
60,,0.459,0.28,0.605,20.34090909090909,5.204545454545454,4.204545454545454,0.7727272727272727,0.6,-4.3,-0.5,Chandler Hutchison
61,CHI,0.484,0.188,0.798,25.31111111111111,10.377777777777778,7.022222222222222,1.7333333333333334,1.9,-0.7,0.4,Wendell Carter Jr.
62,CHI,0.446,0.373,0.825,29.93877551020408,16.07482993197279,3.3877551020408165,3.496598639455782,8.0,-1.6,1.0,Zach LaVine
63,CHI,0.462,0.25,0.8,27.0,17.0,3.0,7.0,0.1,-1.1,0.0,Coby White
64,CHI,0.488,0.4,0.792,21.563981042654028,6.5829383886255926,2.8199052132701423,3.6966824644549763,10.2,-0.4,1.8,Tomáš Satoranský
65,CHI,0.501,0.33,0.673,30.726164079822617,13.37139689578714,5.988913525498892,1.6541019955654102,59.8,0.7,19.1,Thaddeus Young
66,CHI,0.446,0.368,0.87,21.471698113207548,5.6415094339622645,2.330188679245283,2.8773584905660377,4.0,-1.3,0.4,Ryan Arcidiacono
67,CHI,0.38,0.359,0.807,16.671641791044777,6.8059701492537314,3.029850746268657,1.1940298507462686,1.8,0.4,0.7,Luke Kornet
68,,0.442,0.261,0.683,18.895833333333332,6.520833333333333,2.9479166666666665,2.0208333333333335,2.2,-1.0,0.5,Shaquille Harrison
69,PHO,0.434,0.365,0.771,26.723247232472325,10.988929889298893,3.3431734317343174,2.5350553505535056,15.1,0.1,3.9,Tyler Johnson
70,PHO,0.433,0.358,0.836,26.900414937759336,12.639004149377593,6.199170124481328,2.120331950207469,11.2,-0.6,2.3,Dario Šarić
71,PHO,0.586,0.0,0.746,30.77777777777778,16.34722222222222,10.277777777777779,1.7361111111111112,6.1,0.2,1.2,Deandre Ayton
72,PHO,0.429,0.333,0.803,29.397590361445783,8.301204819277109,3.216867469879518,2.0963855421686746,3.0,-0.2,1.1,Mikal Bridges
73,PHO,0.499,0.289,0.808,15.107476635514018,5.408878504672897,4.411214953271028,0.719626168224299,17.0,-1.3,1.1,Aron Baynes
74,PHO,0.395,0.301,0.787,17.77777777777778,5.685185185185185,1.8148148148148149,2.3518518518518516,-0.5,-5.8,-0.9,Elie Okobo
75,PHO,0.438,0.354,0.853,32.88278388278388,21.399267399267398,3.468864468864469,4.263736263736264,10.0,-1.1,2.0,Devin Booker
76,PHO,0.313,0.346,0.813,14.875,4.575,1.675,1.8,0.1,-3.7,-0.3,Jevon Carter
77,PHO,0.388,0.321,0.838,30.861723446893787,11.094188376753507,4.2044088176352705,7.671342685370742,32.4,1.2,12.3,Ricky Rubio
78,PHO,0.424,0.32,0.779,22.088737201365188,9.41296928327645,3.7235494880546076,0.8293515358361775,8.5,-2.3,-0.4,Kelly Oubre Jr.
79,PHO,0.419,0.348,0.761,22.159010600706715,9.777385159010601,3.978798586572438,1.6042402826855124,11.1,-1.1,1.3,Frank Kaminsky
80,PHO,0.585,0.25,0.75,12.522388059701493,5.447761194029851,4.597014925373134,0.417910447761194,5.0,-2.6,-0.2,Cheick Diallo
81,PHO,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,-20.6,0.0,Jared Harper
82,NOP,0.458,0.392,0.744,21.641472868217054,8.040697674418604,2.005813953488372,1.819767441860465,13.5,-1.8,0.7,E'Twaun Moore
83,NOP,0.457,0.33,0.664,31.670157068062828,13.93193717277487,4.722513089005235,2.905759162303665,4.6,-2.7,-1.0,Brandon Ingram
84,NOP,0.38,0.317,0.446,32.28,10.01,6.16,6.36,3.6,1.2,2.6,Lonzo Ball
85,NOP,0.435,0.363,0.702,24.458015267175572,7.908396946564886,3.9770992366412212,1.3282442748091603,5.6,-0.4,1.3,Josh Hart
86,NOP,0.452,0.354,0.784,33.119448698315466,15.560490045941807,3.8330781010719757,6.3660030627871365,38.9,1.3,17.9,Jrue Holiday
87,NOP,0.435,0.314,0.747,19.080645161290324,8.129032258064516,2.161290322580645,1.1290322580645162,0.5,-5.0,-0.9,Frank Jackson
88,NOP,0.525,0.21,0.664,25.73143759873618,11.57345971563981,7.194312796208531,1.1105845181674565,49.5,1.4,14.1,Derrick Favors
89,NOP,0.378,0.329,0.727,23.340425531914892,6.0,4.787234042553192,1.8297872340425532,1.2,-0.2,0.5,Kenrich Williams
90,NOP,0.53,0.2,0.679,21.073298429319372,11.44502617801047,5.12041884816754,0.9162303664921466,5.3,-3.5,-1.5,Jahlil Okafor
91,NOP,0.1,0.143,,12.0,3.0,4.0,2.0,-0.1,-6.9,0.0,Nickeil Alexander-Walker
92,NOP,0.448,0.413,0.89,25.910394265232974,12.903225806451612,2.019115890083632,2.022700119474313,58.9,0.0,11.0,J.J. Redick
93,NOP,0.714,0.8,,20.0,14.0,5.0,2.0,0.1,9.1,0.1,Nicolò Melli
94,,0.418,0.382,0.83,20.399209486166008,6.023715415019763,1.6719367588932805,1.3675889328063242,5.9,-1.7,0.4,Darius Miller
95,,0.268,0.231,0.636,17.2,6.4,2.0,2.4,-0.2,-5.5,-0.1,Josh Gray
96,SAS,0.445,0.328,0.713,17.408333333333335,6.683333333333334,4.241666666666666,2.375,3.4,0.4,1.3,Dejounte Murray
97,SAS,0.451,0.283,0.827,34.13811420982736,19.845949535192563,4.256308100929615,3.395750332005312,60.2,-0.5,10.0,DeMar DeRozan
98,SAS,0.643,0.5,0.56,16.070093457943926,5.425233644859813,4.542056074766355,0.7616822429906542,12.4,2.9,4.3,Jakob Pöltl
99,SAS,0.479,0.361,0.757,22.223529411764705,8.541176470588235,3.235294117647059,3.235294117647059,4.2,0.8,1.4,Derrick White
100,SAS,0.43,0.391,0.849,18.998349834983497,8.41914191419142,1.66996699669967,2.3646864686468647,27.5,0.4,7.1,Patty Mills
101,SAS,0.491,0.285,0.81,34.488958990536275,19.579390115667717,8.386961093585699,1.9526813880126184,107.1,1.4,28.3,LaMarcus Aldridge
102,,0.348,0.385,0.8,6.9411764705882355,2.6470588235294117,1.0,0.5294117647058824,0.0,-4.4,-0.1,Lonnie Walker
103,SAS,0.425,0.376,0.846,23.237562189054728,9.965174129353233,2.078358208955224,1.6927860696517414,29.6,-1.7,1.6,Marco Belinelli
104,SAS,0.438,0.407,0.786,20.743718592964825,8.22110552763819,1.8944723618090453,1.4020100502512562,6.2,-1.9,0.1,Bryn Forbes
105,,0.328,0.0,0.765,5.0,1.7586206896551724,1.2413793103448276,0.4482758620689655,-0.3,-9.2,-0.3,Chimezie Metu
106,,0.577,,0.846,4.913043478260869,1.7826086956521738,1.4782608695652173,0.30434782608695654,0.3,-2.3,0.0,Drew Eubanks
107,,0.43,0.36,0.743,24.160649819494584,9.13898916967509,4.330324909747293,1.2653429602888087,29.3,0.7,9.1,DeMarre Carroll
108,SAS,0.456,0.347,0.796,33.986363636363635,17.58409090909091,5.930681818181818,2.2363636363636363,55.0,0.5,18.9,Rudy Gay
109,SAS,0.431,0.33,0.706,17.560553633217992,7.633217993079585,3.9377162629757785,1.0588235294117647,8.2,-2.5,-0.6,Trey Lyles
110,MIA,0.42,0.344,0.645,28.28138528138528,9.021645021645021,5.32034632034632,2.683982683982684,8.0,-0.7,2.1,Justise Winslow
111,MIA,0.466,0.363,0.763,28.011857707509883,13.754940711462451,3.054018445322793,4.810276679841897,51.2,1.1,16.7,Goran Dragić
112,MIA,0.478,0.384,0.828,15.51776649746193,5.540609137055838,3.738578680203046,0.8578680203045685,13.4,-1.4,0.9,Meyers Leonard
113,MIA,0.549,0.136,0.73,21.74342105263158,8.026315789473685,6.506578947368421,1.894736842105263,11.1,1.8,3.2,Bam Adebayo
114,,0.477,0.305,0.695,20.700996677740864,7.9485049833887045,3.5980066445182723,2.127906976744186,23.5,1.1,9.7,James Johnson
115,,0.412,0.347,0.692,28.43031784841076,13.188264058679707,2.650366748166259,2.7946210268948657,8.7,-2.5,-1.6,Dion Waiters
